Référence Article;Désignation Article;Ar Nomencl;Code - Intitulé Famille;Qté Vendues;PU;Chiffre d'affaires HT;Marge (%);Prix Revient Total;Marge
048.300T;COMPRESSEUR 300L MARQUE FENELLI 4HP 380V;0;COMP100 - Compresseur  LOCAL;5;12147,4;60737,02;30,99;41916,67;18820,35
048.PROSIL;COMPRESSEUR PROSIL1 - 100 Lt - SHAMAL - Italie;0;COMP100 - Compresseur  LOCAL;1;0;0;#DIV/0;16000;-16000
0512200I;BOULON  DIN 933 M 10X 30-INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;80;2,85;228;-3,41;235,78;-7,78
513;DETECTEUR DE GAZ DEPOT DG3001-CO SUR CONNECTEUR;0;ALMACOMPPR - PDR Compteur ALMA;8;12125;97000;51,95;46611,38;50388,62
06060HP-CE-3;"ENVELOPPE HP POUR CLAPET D'ARRET D'URGENCE 3""";0;WARTSEQ - Equipement Wartsila;3;29633,33;88900;35,78;57087,97;31812,03
06060HP-CE_4;Enveloppe HP CE pour clapet d'arrêt d'urgence 4'';0;WARTSEQ - Equipement Wartsila;1;33800;33800;29,5;23827,9;9972,1
06139FS-CE;Clapet d'arrêt d'urgence à sécurité feu 3'';0;WARTSEQ - Equipement Wartsila;32;17843,75;571000;31,71;389923,03;181076,97
06139FS-CE-061-2;CLAPET HYDRAULIQUE 6'' SECURITE FEU;0;WARTSEQ - Equipement Wartsila;1;64000;64000;26,05;47327,69;16672,31
06139FS-CE_4;Clapet d'arrêt d'urgence à sécurité feu 4'';0;WARTSEQ - Equipement Wartsila;1;36800;36800;29,29;26019,77;10780,23
06240FS-CE-081-1;8'' FIRE SAFE SHUT;0;WARTSEQ - Equipement Wartsila;1;99950;99950;29,71;70253,04;29696,96
06240FS-CE-081-2;8'' FIRE SAFE SHUT -OFF VALVE BUT/PRO INT;0;WARTSEQ - Equipement Wartsila;1;112000;112000;28,89;79643,46;32356,54
0632400I;RONDELLE RESSORT DIN127 D5 INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;12;2,85;34,2;48,19;17,72;16,48
06790-026N;AXE DE BIELLE;0;PCMPOMPPR - PDR Pompe PCM;2;269,76;539,52;29,56;380,03;159,49
08761-020;BIELLE SS329LN P22;0;PCMPOMPPR - PDR Pompe PCM;2;6216;12432;29,57;8756,19;3675,81
08TM0050;Temperature switch FC 62 T;0;KROCHDIVPR - Divers PDR;1;22373,89;22373,89;36,38;14233,55;8140,34
0904005006/JOINT;"VANNE ABS ALFA 24 3"" POUR BRAS GPL AVEC JOINT";2;PEROLOBRAP - PDR Bras de chargement;0;#DIV/0;-25800;100;0;-25800
0904005007/JOINT;"VANNE ABS ALFA 24 2"" POUR BRAS GPL AVEC JOINT";2;PEROLOBRAP - PDR Bras de chargement;0;#DIV/0;-9400;100;0;-9400
904005008;KIT JOINTS ALFA 24 K2'';0;PEROLOBRAP - PDR Bras de chargement;4;1762,5;7050;44,13;3938,59;3111,41
904005009;KIT DE JOINTS EN R-PTFE + SECURITE FEU POUR VANNE ALFA 24 K3'';0;PEROLOBRAP - PDR Bras de chargement;3;5690;17070;45,95;9226,89;7843,11
0904005009L;KIT DE JOINT PR VANNE ALFA ;0;PEROLOBRAP - PDR Bras de chargement;14;1085,71;15200;-29,01;19609,8;-4409,8
0904005009L/JOINT;KIT DE JOINT PR VANNE ALFA ;2;PEROLOBRAP - PDR Bras de chargement;2;5690;11380;75,03;2841,4;8538,6
09617-014;BAGUE D'ARRET;0;PCMPOMPPR - PDR Pompe PCM;2;1139,52;2279,04;29,45;1607,94;671,1
1000J50RECL;GROUPE DE LAVAGE 1000J50 AVEC FLEXIBLE LG10M+PISTOLET;2;PCMPOMPEQ - Pompe PCM;3;18600;55800;40,58;33154,52;22645,48
1010020317COMPL;PISTOLET DE LAVAGE AVEC LANCE ET BUSE;2;MTMHYDROPI - PISTOLET MTM HYDRO;2;750;1500;44,18;837,32;662,68
101036000;"CLAPET 40X76 (1""1/2)";0;PEROLOSSEQ - Equipement Station Service;18;1415,56;25480;19,73;20453,76;5026,24
101037000;INTERIEUR  DE CLAPET;0;PEROLOCAME - Equipement camion;31;1185,81;36760;34,94;23917,42;12842,58
10/11/2002;"EVENT TELEPHONE 1""1/2 DN 40";0;PEROLOSSEQ - Equipement Station Service;7;235,71;1650;-6,21;1752,43;-102,43
1011020417;PISTOLET SG 35 PERMANENT WEEP SWIVEL SPRAY GUN;0;MTMHYDROPI - PISTOLET MTM HYDRO;24;733,33;17600;46,5;9415,44;8184,56
10/11/2011;"EVENT TELEPHONE 2""DN50  ";0;PEROLOSSEQ - Equipement Station Service;22;427,73;9410;13,03;8184,17;1225,83
10207;PURGEUR DE FREIN ET EMBRAYAGE A 2 CHAMBRES;0;RAASMSERVE - Equipement;2;7900;15800;65,54;5445,07;10354,93
1031809;POMPE PERNIN équipements C85 otation/aspiration;0;POMPE - POMPE LOCAL;1;39300;39300;-38,6;54468,96;-15168,96
1046;BEC ASPIRATEUR;0;POMPEPDR - PDR Pompes;2;100;200;55;90;110
11008;SONDE PT100 AVEC PRESSE ETOUPE POUR DEPOT;0;ALMACOMPEQ - Compteur ALMA;1;3300;3300;28,32;2365,57;934,43
110982;FILTRE A HUILE ;0;FILTRE - FILTRE LOCAL;1;200;200;84,17;31,66;168,34
11202A080;"JONCTION A/V M 3""";0;RACCORD - RACCORD LOCAL;6;185;1110;17,7;913,49;196,51
112V;GARNITURE VITON DIA 12;0;POLLPOMPDR - PDR POMPE POLLARD;4;1426;5704;38,69;3496,95;2207,05
1132.X2;Crosshead ASSY 91-291/191, 1ST;0;KROCHCOMPR - KROCH COMPRESSEURS;2;5109;10218;-12,02;11446,08;-1228,08
1132-X3;Crosshead Assembly;0;KROCHCOMPR - KROCH COMPRESSEURS;2;12475,42;24950,84;51,76;12037,09;12913,75
11377;ELECTRO AIMANT (2 BOBINES) ET VISSERIE POUR XAD36;0;ALMACOMPPR - PDR Compteur ALMA;9;7366,67;66300;29,94;46450,07;19849,93
113V;GARNITURE VITON DIA 16;0;POLLPOMPDR - PDR POMPE POLLARD;8;1426;11408;37,4;7141,97;4266,03
11401A080;"BOUCHON SYM 3""";0;RACCORD - RACCORD LOCAL;12;198;2376;16,02;1995,33;380,67
11529;KIT JOINT AVEC APZ BRODIE 4'';0;ALMACOMPPR - PDR Compteur ALMA;2;22300;44600;33,79;29531,71;15068,29
115959;SPACER POUR POMPE 2;0;AROPAMPDR - PDR Pompe à membranes ARO;8;90;720;70,56;212;508
11706050;"TRICOISES 2"" A 3"" EN BRONZE";0;ACCESSOIR - DIVERS ACCESSOIRES ;100;94;9400;20,01;7518,75;1881,25
1183574;FILTRE A HUILE DEUTZ;0;FILTRE - FILTRE LOCAL;1;85;85;-15,56;98,23;-13,23
1196700I;BOULON DIN 933 M 5X 16-INOX;0;ISTOBTUNPD - PDR Tunnel de lavage;12;2,85;34,2;48,19;17,72;16,48
12154-026;AXE;0;PCMPOMPPR - PDR Pompe PCM;2;620;1240;27,81;895,13;344,87
12227;EMETTEUR 2H00 AVEC 5M DE CABLES;0;ALMACOMPPR - PDR Compteur ALMA;13;10719,23;139350;31,08;96035,49;43314,51
1227010007;JOINT DE COUVERCLE DOME;0;PEROLOCAME - Equipement camion;31;240;7440;40,6;4419,63;3020,37
1-2339-4/40;KIT DE GOUJONS POUR DISPOSITIF ANTI-ARRACHEMENT HK TYPE TBA40;0;PEROLOBRAP - PDR Bras de chargement;3;0;0;#DIV/0;926,26;-926,26
1-2339-4/45;BREAKAWAY 4.5MM;0;PEROLOBRAP - PDR Bras de chargement;3;2300;6900;100;0;6900
1234900;ROUE GUIDE;0;ISTOBTUNPD - PDR Tunnel de lavage;4;75,28;301,13;32,76;202,47;98,66
1241100;SUPPORT ELASTIQUE;0;ISTOBTUNPD - PDR Tunnel de lavage;8;7,6;60,8;-223,72;196,82;-136,02
1-2509-06;KIT POUR FLIP FLAP TODO 2'';0;PEROLOBRAP - PDR Bras de chargement;2;800;1600;91,13;141,88;1458,12
12535;CARTOUCHE FILTRANTE 200u INOX;0;ALMACOMPPR - PDR Compteur ALMA;3;9800;29400;34,1;19374,51;10025,49
1-2536-4;SPRING SS;0;PEROLOBRAP - PDR Bras de chargement;2;1150;2300;88,88;255,79;2044,21
1-2539-06;KIT POUR FLIP FLAP TODO 3'';0;PEROLOBRAP - PDR Bras de chargement;2;1853;3706;92,57;275,27;3430,73
1-2539-7;BA O-RING VITON A;0;PEROLOBRAP - PDR Bras de chargement;10;285;2850;44,61;1578,53;1271,47
127222;VANNE FIDLOCK SE80 SYM;0;PEROLOCAME - Equipement camion;2;3500;7000;42,07;4055,29;2944,71
12800060;"PRESSOSTAT 3/8"" SILEN";0;SHAMCOMPPR - PDR compresseur;33;369,09;12180;54,61;5529,05;6650,95
12800060G;PRESSOSTAT 3/8'' SILEN;0;SHAMCOMPPR - PDR compresseur;1;380;380;100;0;380
1281-XA;Gasket set (291) BUNA-N, Aluminium;0;KROCHCOMPR - KROCH COMPRESSEURS;1;3465;3465;45,42;1891,24;1573,76
1339900I;SCREW DIN 7991 M 5X10 STAINLESS;0;ISTOBTUNPD - PDR Tunnel de lavage;4;2,85;11,4;45,09;6,26;5,14
135326205;FILTRE A AIR;0;FILTRE - FILTRE LOCAL;0;#DIV/0;0;#DIV/0;0;0
1367;Conn Rod Bearing;0;KROCHCOMPR - KROCH COMPRESSEURS;4;1333;5332;35,01;3465,47;1866,53
13684-001C;ROTOR POUR 1000J50;0;PCMPOMPPR - PDR Pompe PCM;5;6236;31180;33,67;20683;10497
1428399200;KIT BAGUE PORTE JOINT;0;PEROLOBRAP - PDR Bras de chargement;4;5500;22000;45,21;12054,68;9945,32
1428399400;KIT PALIER;0;PEROLOBRAP - PDR Bras de chargement;1;3800;3800;34,77;2478,84;1321,16
1428399500;KIT POIGNE CAMSEC;0;PEROLOBRAP - PDR Bras de chargement;4;3400;13600;35,79;8732,57;4867,43
1428450000;COUPLEUR API POUR BRAS VAPEUR EMCO WHEATON;0;PEROLOBRAP - PDR Bras de chargement;2;29700;59400;31,39;40755,75;18644,25
1428459100;KIT DETECTEUR DE PROXIMITE;0;PEROLOBRAP - PDR Bras de chargement;5;1000;5000;-373,15;23657,27;-18657,27
1428459300;KIT CAME D'OUVERTURE (COUPLEUR VAPEUR);0;PEROLOBRAP - PDR Bras de chargement;12;6554,17;78650;40,4;46879,28;31770,72
1429191000;PINCE A MACHOIRE M/TERRE;0;PEROLODCP - PDR DCMT;58;4158,09;241169,3;38,23;148971,45;92197,85
1429191100;KIT POUR PINCE A MACHOIRES;0;PEROLODCP - PDR DCMT;8;1780;14240;32,3;9640,62;4599,38
14351540;KIT VIS POINTEAU VANNE FIAB;0;PEROLOCAMP - PDR Camion;2;761,1;1522,19;28,49;1088,46;433,73
1435159500;"KIT FIAB JEU DE JOINTS 4""";0;PEROLOBRAP - PDR Bras de chargement;5;1159,01;5795,04;65,62;1992,5;3802,54
14351610;"S/E PIST ASSBLE VANNE F4""";0;PEROLOBRAP - PDR Bras de chargement;2;6130,64;12261,27;28,46;8771,98;3489,29
1437160000;CASSE-VIDE A JOINT TORIQU;0;PEROLOBRAP - PDR Bras de chargement;15;900;13500;-104,48;27605,27;-14105,27
145022;"BOITE D'EGOUTTAGE 4""";0;PEROLOBRAE - equipement;36;2664,45;95920,08;38,88;58623,78;37296,3
1452.1;FEMALE PACKING RING REF 1452.1;0;KROCHCOMPR - KROCH COMPRESSEURS;1;390;390;61,77;149,08;240,92
1452.1X1;Packing Set - PTFE;0;KROCHCOMPR - KROCH COMPRESSEURS;6;4876,67;29260;49,45;14791,04;14468,96
1453.1;Male packing ring REF. 1453.1;0;KROCHCOMPR - KROCH COMPRESSEURS;1;390;390;67,86;125,36;264,64
1454;BAGUE DE BOURRAGE TEFLON;0;KROCHCOMPR - KROCH COMPRESSEURS;20;800;16000;58,94;6569,69;9430,31
14800020;THERMOSTAT IN-85C AUT 70C;0;SHAMCOMPPR - PDR compresseur;15;150;2250;56;989,94;1260,06
14800100;THERMOSTAT IN-35C AUT-25C;0;SHAMCOMPPR - PDR compresseur;15;149,18;2237,74;55,71;991,2;1246,54
1490910000;"KIT COUDE TOURNANT 3""";0;PEROLOBRAP - PDR Bras de chargement;2;1062;2124;66,26;716,64;1407,36
149092;"KIT COUDE TOURNANT 4""";0;PEROLOBRAP - PDR Bras de chargement;3;500;1500;-84,35;2765,31;-1265,31
14PC0071;SET JOINT 490/491 3,4: XC30633 TO FZ44187;0;KROCHCOMPR - KROCH COMPRESSEURS;1;6000;6000;34,25;3945,11;2054,89
14PC0091;SEGMENT TEFLON : TOUS LES 491 ET 490;0;KROCHCOMPR - KROCH COMPRESSEURS;6;2045;12270;44,27;6838,19;5431,81
14PC0092;RESSORT DE SEGMENT: TOUS 491/490;0;KROCHCOMPR - KROCH COMPRESSEURS;6;410;2460;60,38;974,56;1485,44
14PC0106;CRANKCASE GASKET REF. 1761;0;KROCHCOMPR - KROCH COMPRESSEURS;1;1412;1412;51,83;680,15;731,85
14PC0123;CONN ROD NUT REF. 1727;0;KROCHCOMPR - KROCH COMPRESSEURS;1;184;184;38,62;112,94;71,06
14PC0140;CONN ROD BEARING REF. 1719;0;KROCHCOMPR - KROCH COMPRESSEURS;1;4689;4689;48,31;2423,61;2265,39
14PC0146;JOINT DE CLAPET ALU: POUR TOUS 391/491;0;KROCHCOMPR - KROCH COMPRESSEURS;2;215;430;56,12;188,7;241,3
14PC0188;WRIST PIN BUSHING REF. 1495.X;0;KROCHCOMPR - KROCH COMPRESSEURS;1;1231;1231;36,8;777,95;453,05
14PC0202;O- RING;0;KROCHCOMPR - KROCH COMPRESSEURS;1;950;950;55,37;424,01;525,99
14PC0203;O-RING BUNA N;0;KROCHCOMPR - KROCH COMPRESSEURS;4;1865;7460;55,2;3342,38;4117,62
14PC0260;HEAD GASKET REF. 1744;0;KROCHCOMPR - KROCH COMPRESSEURS;1;9264;9264;51,91;4455,02;4808,98
14PC0300;VALVE SPACER-391/491;0;KROCHCOMPR - KROCH COMPRESSEURS;2;268;536;41,79;312;224
14PC0301;VALVE WASHER - 391/491-CORKEN_3355;0;KROCHCOMPR - KROCH COMPRESSEURS;2;145;290;16,87;241,07;48,93
150175;JOINT BOUCHON;0;BOTTCOMPR - PDR Compresseur Bottarini;6;375;2250;51,66;1087,62;1162,38
15066-PM;JOINT TORIQUE;0;AROPISTPDR - PDR Pompe à piston ARO;5;98;490;42,46;281,93;208,07
1518512;CARTOUCHE SEPARATEUR D'EAU ;0;FILTRE - FILTRE LOCAL;1;1500;1500;31,13;1033;467
15-225;OUTIL ALESOIR EN TE;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;2;55;110;47,44;57,82;52,18
15-227;PRESSE CHEVILLES;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;17;65;1105;54,75;500,05;604,95
15-230;AIGUILLE DE RECHARGE;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;6;10;60;-7,55;64,53;-4,53
15-231;OUTIL D'INSERTION CHAS FENDU;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;22;112,73;2480;46,34;1330,86;1149,14
15-232;OUTILE D'INSERTION;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;8;105;840;47,97;437,03;402,97
15-281;TRESSE PL;0;SCHRADREPA - PIECES ET OUTILS DE REPARATION SCHR;221;146,74;32430;33,36;21612,4;10817,6
1528-1;Shim Washer THIN;0;KROCHCOMPR - KROCH COMPRESSEURS;2;1249,32;2498,64;51,76;1205,25;1293,39
1529219300;CARTE ELECTRONIQUE DCMT3;0;PEROLOBRAP - PDR Bras de chargement;1;29000;29000;28,84;20637,35;8362,65
1529409100;CARTE ELECTRONIQUE DCMT4+CAMIO;0;PEROLOBRAP - PDR Bras de chargement;2;36000;72000;31,41;49387,59;22612,41
15300320;ROBINET PURGE D' EAU;0;SHAMCOMPPR - PDR compresseur;2;70;140;88,21;16,5;123,5
1-5516-06;KIT POUR FLIP FLAP TODO 3'';0;PEROLOBRAP - PDR Bras de chargement;2;443;886;75,9;213,5;672,5
1-5516-07;O-RING VITON 69.45X3.53;0;PEROLOBRAP - PDR Bras de chargement;10;210;2100;44,86;1157,93;942,07
1-5541-06;O-RING NBR;0;PEROLOBRAP - PDR Bras de chargement;1;1137;1137;92,27;87,85;1049,15
15882-209;GAINE NBR POUR POMPE 1000J50G;0;PCMPOMPPR - PDR Pompe PCM;2;3490;6980;43,15;3967,91;3012,09
15M12S;POMPE A ROTOR EXCENTRE MONOBLOC;0;PCMPOMPEQ - Pompe PCM;1;177700;177700;31,8;121200,16;56499,84
1600;Conn ROD Nut;0;KROCHCOMPR - KROCH COMPRESSEURS;4;109,49;437,96;51,8;211,08;226,88
16018982;COMPRESSEUR A AIR 300L;0;COMP100 - Compresseur  LOCAL;2;11200;22400;36,76;14166,72;8233,28
160500;POMPE ELECTRIQUE SAMOA AVEC BATTERIE 20V;0;SAMOA - SAMOA SERVICING;34;4819,68;163869;35,11;106341,66;57527,34
160500-;POMPE ELECTRIQUE SAMOA AVEC BATTERIE 20V;2;PIUSIPOMPE - Equipement;10;4500;45000;30,55;31251,47;13748,53
1610X24;MOYEU AMOVIBLE 1610X24;0;RACCORD - RACCORD LOCAL;1;100;100;32,36;67,64;32,36
1610X28;MOYEU AMOVIBLE 1610X28;0;RACCORD - RACCORD LOCAL;1;120;120;43,63;67,64;52,36
1612;Kit entretoise 2DG pour FA+;0;ALMACOMPPR - PDR Compteur ALMA;1;9300;9300;27,23;6767,57;2532,43
16139-02-1;KIT CLAPET DIAM 2'';0;WARTSDIVPR - Divers PDR;1;1400;1400;32,58;943,86;456,14
16240-14-1;KIT DE JOINT POUR CLAPET 14'';0;WARTSDIVPR - Divers PDR;1;13000;13000;32,69;8750,75;4249,25
1626500;CYLINDRE PNEUMATIQUE D32 BAS115;0;ISTOBTUNPD - PDR Tunnel de lavage;1;1900;1900;41,01;1120,8;779,2
16300130L;FILTRE SILENCIEUX BRONZE 1/2;0;FILTRE - FILTRE LOCAL;1;100;100;58,7;41,3;58,7
1-6572-06;KIT POUR FLIP FLAP TODO 2'';0;PEROLOBRAP - PDR Bras de chargement;2;800;1600;91,06;143,09;1456,91
1688300;ELECTROSOUPAPE 3/2-24V CC;0;ISTOBTUNPD - PDR Tunnel de lavage;1;300;300;7,64;277,09;22,91
170177;BOBINE DE 100 METRES DE TUYAU PRODUIT 6X10;0;ITWFLEXEQ - Tuyau ITW;1;19700;19700;23,14;15141,31;4558,69
1717X1;TIGE DE PISTON;0;KROCHCOMPR - KROCH COMPRESSEURS;4;11304;45216;12,72;39464,8;5751,2
1725-2X;KIT D'ETANCHEITE;0;KROCHCOMPR - KROCH COMPRESSEURS;4;5917;23668;70,48;6987;16681
1739;SEGMENT TEFLON;0;KROCHCOMPR - KROCH COMPRESSEURS;6;1055;6330;25,01;4747,05;1582,95
1739100;FEMALE METALLIC HINGE;0;ISTOBTUNPD - PDR Tunnel de lavage;4;50;200;65,4;69,21;130,79
1739600;MALE METALLIC HINGE;0;ISTOBTUNPD - PDR Tunnel de lavage;4;50;200;42,29;115,42;84,58
1740;RESSORT DE SEGMENT;0;KROCHCOMPR - KROCH COMPRESSEURS;6;333;1998;5,78;1882,5;115,5
1744.X3A;POCHETTE DE JOINTS;0;KROCHDIVPR - Divers PDR;4;10263,75;41055;46,02;22160,81;18894,19
1772;SEGMENT TEFLON;0;KROCHCOMPR - KROCH COMPRESSEURS;8;1235;9880;-19,05;11762,48;-1882,48
1775;Ring Expander;0;KROCHCOMPR - KROCH COMPRESSEURS;8;200;1600;41,96;928,71;671,29
183G-1013CE;RESERVOIR SOUS PRESSION GALVANISE 40L AV AGITATEUR ;0;ITWAGITAT - ITW AGITATEUR PNEUMATIQUE;2;39000;78000;42,41;44919,69;33080,31
183S-1013-CE;RESERVOIR SOUS PRESSION INOX 40L AVEC AGITATEUR;0;ITWAGITAT - ITW AGITATEUR PNEUMATIQUE;2;34000;68000;24,67;51225,59;16774,41
183S-1013CE+KIT;RESERVOIR SOUS PRESSION INOX AV KIT DOUBLE DETENTE;2;ITWAGITAT - ITW AGITATEUR PNEUMATIQUE;1;34500;34500;37,07;21710,26;12789,74
1846.X;Wrist Pin Bushing;0;KROCHCOMPR - KROCH COMPRESSEURS;2;996;1992;46,42;1067,34;924,66
1873018;FILTRE A CARBURANT ;0;FILTRE - FILTRE LOCAL;1;930;930;34,95;605;325
1-8767-06_BA;O-RING NITRILE NBR;0;PEROLOBRAP - PDR Bras de chargement;1;800;800;92,35;61,24;738,76
1911200;JOINT CAOUTCHOUC ADHES 15X2X2200;0;ISTOBTUNPD - PDR Tunnel de lavage;3;154,07;462,2;44,22;257,82;204,38
19200090;FICHE ELECTRONIQUE SIL2;0;SHAMCOMPPR - PDR compresseur;3;900;2700;15,7;2276,18;423,82
1987-X1;PISTON ASSY, PTFE_691-CORKEN;0;KROCHCOMPR - KROCH COMPRESSEURS;2;10855;21710;51,62;10503,22;11206,78
1-R5632H-1307;SPARE PART KIT, TODO5632;0;PEROLOTODE - Equipement;15;2250;33750;33,6;22409,78;11340,22
1-S5632H-1307;"SEAT KIT; TODO5632";0;PEROLOTODE - Equipement;15;850;12750;37,7;7943,4;4806,6
20057233;GARNITURE MECANIQUE POUR CEHA 4108 GPL GNZ73.49/28;0;SIHIPOMPDR - PDR Sihi;11;8086,82;88955;39,37;53929,33;35025,67
20057251;GARNITURE MECANIQUE PR CEHA 6108 GNZ73.49/38;0;SIHIPOMPDR - PDR Sihi;25;9165,12;229128;40,8;135635,77;93492,23
20057251/ROUL;GARNITURE MECANIQUE AVEC ROULEMENT 6307;2;SIHIPOMPDR - PDR Sihi;1;9230;9230;58,12;3865,38;5364,62
2012;LANCE DE LAVAGE 26/F;0;PISTOLET - Pistolet local;2;440;880;43,05;501,19;378,81
20145;POMPE DEPOTAGE TXH3 ;0;PETROPOME - Equipement;1;62860;62860;29,35;44410,75;18449,25
2018;BY PASS;0;ACCESSOIR - DIVERS ACCESSOIRES ;1;880;880;37,5;550;330
