Référence Article;Désignation Article;Qté Stock Réel;CMUP Unitaire;Montant Stock (CMUP)
LP-360;POCHETTE DE JOINT 6T;11;48,97;539
LPG_50;" FLEXIBLE LG. 6M DIA.2""   ";2;784,35;1 569
LRD16;RELAIS THERMIQUE 12A ;1;199;199
LS-A-10;TUBE MOUSSE AUTO ASPIRANT;8; 5 867,7925;46 942
M100;POMPE SIEBEC MAGNETIQUE CORPS EN POLYPROPYLENE 10M3/H HMT 18M;0;0;0
M15C1;COMPTEUR MONOBLOC;4; 41 699,0625;166 796
M22-K01;CONTACT NC POUR ARRET D'URGENCE;2;16,58;33
M240/2;FILTRE REGULATEUR;2;465;930
M25;COMPTEUR VOLUMETRIQUE A PALETTES 3'' ;1; 39 203,13;39 203
M25ADF;PRESSE ETOUPE M25ADF INOX;18;160;2 880
M30;COMPTEUR MONOBLOC 3'';1; 67 044,67;67 045
M3C6F;POMPE MOINEAU INOX DEBIT 3M3/H;0;0;0
M7C1;ENS DE MESURAGE COMPLET;2; 33 315,93;66 632
MAMEL1/4;MAMELON 1/4;85;6,3824;543
MAMEL-3/4;MAMELON HP Q 3/4;26;23,0877;600
MAMEL_3/4;MAMELON REDUIT 1'' 3/4;13;34,3;446
MAMELON1/2;MAMELON 1/2 PR COMPRESSEUR;-1;0;0
MAN100;MANOMETRE INOX -100°C A +100°C;8;280;2 240
MAN1/4;MANCHON A SOUDER 1/4;6;3,3;20
MAN3D400MM;MANCHETTE 3'' BI FILETEE LONG 400MM;1;88,33;88
MANCH3/4;MANCHON ACIER D3/4 NOIR;50;5;250
MANO16B;MANOMETRE DE 0 A 16 BAR;2;65;130
MANO25B;MANOMETRE 0-25BARS;1;80;80
MAV1C11S;MANOL AC ROND;20; 1 105,3425;22 107
MB-403962HD;CHAPEAU D'AIR;0;0;0
MB-403964HD;CHAPEAU D'AIR 64;15;503,3587;7 550
MB403967HD;CHAPEAU D'AIR;4;340,57;1 362
MB4039-67M;CHAPEAU D'AIR;12;451,18;5 414
MB4039-78;CHAPEAU D'AIR;2;286,14;572
MB4039-80;CHAPEAU D'AIR;3;455,63;1 367
MB51;RACCORD;11;50,51;556
MBC1164K5;KIT DE JOINT;0;0;0
MBC-368;BAGUE DE RETENUE;8;80,25;642
MBC-496DEX;AIGUILLE;7;171,24;1 199
MBD-12;RESSORT DE VALVE;9;10,75;97
MBD-19;RESSORT;4;8,47;34
MC011;"RACC.CX MALE ALU 2""1/2   """;17;449,76;7 646
MC012;"RACC. CX MALE ALU 3""""     """;14;469,54;6 574
MCG1500-10;JAUGEUR MCG1500-10-12-01;0;0;0
MCG2150-B;CONSOLE DE PROGRAMMATION;0;0;0
MCG2350-02;INTERFACE SONDE TEMPERAT.;0;0;0
MCG351-08-01;SONDE DE TEMPERATURE;0;0;0
MCPT;MICROCOMPT ;0;0;0
MD47640;MOTEUR 7.5KW B35 3/6;1; 4 732,5;4 733
MF1CAMLOK;COUPLEUR CAMLOK MF1;9;220;1 980
MF38150;" RACCORD F/COQUILLE D1""1/2";32;192;6 144
MF50200;RACCORD FEMELLE;12;267,34;3 208
MHC-1000A;TAMPON DE PISTE 990MM;2; 7 191,2;14 382
MMBE63;MANCHON ADAPT PE DE63-2'';3;169,58;509
MOT.7.5CV;MOTEUR 7.5CV;10; 1 800;18 000
MOT.APAT.7.5;MOTEUR APAT 7.5CV 1500TR/MN;0;0;0
MP-360;POCHETTE DE JOINT 15T;1;83,76;84
MR100I10;POMPE A ROTOR EXCENTRE;1; 96 157,04;96 157
MSA3;RACCORD AIR  1/4;4;46,33;185
MSA3NB;RACCORD ENTREE AIR 1/4NPS;9;110,25;992
MSAE512ACC;PISTOLET MANUEL EMAIL;0;0;0
MSAE512ACH;PISTOLET AVEC CHAPEAU 62;31; 2 144,3252;66 474
MSAE-512DC;PISTOLET 2.2 CARBURE;-15;0;0
MSG21;RACCORD ENTREE AIR;11;122,67;1 349
MSG22;RAC.ENTREE PRODUIT 3/8;7;130,07;910
MSG451B;ADAPTEUR GODET GRAVITE;1;167,64;168
MSG498;VALVE CHANGEMENT JET;24;190,1413;4 563
MSG614FF186K;PISTOLET DE PEINTURE;1; 1 777,93;1 778
MTG13B;RACCORD PRODUIT 1/4 BSP;1;60,22;60
MX38-1_1/2;RACCORD FEMELLE 1''1/2;5;212,942;1 065
MX40-2;RACCORD FEMELLE 2'';2;373,74;747
MX_50-2;RACCORD FEMELLE EN LAITON;32;308,64;9 876
NEI80-200;GROUPE ELECTROPOMPE HORIZONTALE CENTRIFUGE 40M3/H MARELLI;-1;0;0
NET150BAR;NETTOYEUR HAUTE PRESSION;1; 15 500;15 500
NET200BAR;NETTOYEUR HAUTE PRESSION;2; 26 250;52 500
NHA-0504;FLEXIBLE 10 METRES;1;290,25;290
NHA-6X4;FLEXIBLE 10 METRES;1;169,31;169
NLS-2000;CLE;5;480,76;2 404
NRA-10;PETIT PISTON;4;132,77;531
NRA-113-1;TIGE;5;71,7;359
NRA-113-2;KIT TIGE CARRE;6;60,44;363
NRA-1150;CARDAN;6;205,06;1 230
NRA-134-1;MANETTE;5;62,69;313
NRA-134-2;MANETTE INFERIEUR;7;57,51;403
NRA-291;ENTRETOISE;1;3,55;4
NRA-3001;RESSORT DE PEDALLE;6;45,99;276
NRA-311;COUSSINET;8;201,57;1 613
NRA-7601;RESSORT;9;63,93;575
NRA_77;SECTEUR;2;147,03;294
NRBO-290;ENSEMBLE VALVE;3;153,5;461
OPW-11-A;PISTOLET OPW;1;950;950
OTB-12PSC;BOITIER MURAL 12 PORTS SC;8;550;4 400
P13-360;POCHETTE DE JOINT 13T;5;67,04;335
P29122-100;FILTRE;16;184,05;2 945
P31S105TK13;POMPE DOSEUSE A PISTON DEBIT 1964L/H PRESS.4.5BARS;0;0;0
P31S8TE13;POMPE DOSEUSE A PISTON;2; 21 881,125;43 762
P3-360;POCHETTE DE JOINT 3T;5;49,05;245
P532628EX;BOITE DE DERIVATION ATEX GRP 250X125X125;1;590;590
P571021EX;PRESSE ETOUPE THERMOPLASTIC ATEX PG21 D29MM;1;35;35
P571029EX;PRESSE ETOUPE THERMOPLASTIC ATEX PG29 D.38MM IP68;1;60;60
PA7354;MOTEUR TRIPHASE 1CV;2;968,97;1 938
PAF6000X50X100MM;BARRE UPAF 100;8;247,5;1 980
PALIER;PALIER DE FIXATION 6MM;6;120;720
PANIER;" PANIER INOX 3""           ";-4;0;0
PANN.416M;PANNEAU;4;895,94;3 584
PAOO39AO6;CHECK VALVE;4;566,75;2 267
PASSAGECOLONE4;"PASSSAGE COLONE 4"" PR COLONNE JAUGEAGE MANUEL";-1; 3 419,65;-3 420
PASS.COL;PASSAGE DE COLONNE COMBINE (8'' et 2'') SPECIAL;0;0;0
PC;PC DE SUPERVISION;0;0;0
PD05PBRSPTTB;" POMPE A MEMBRANE 1/2""PTFE";4; 3 687,15;14 749
PD05RBASFTT;" POMPE 1/2"" CORPS ALU     ";6; 4 101,2983;24 608
PD05RBASFTTB;POMPE A MEMBRANE 1/2 BSP;4; 4 477,59;17 910
PD20A-BAP-FTT;POMPE A MEMBRANE;4; 13 439,115;53 756
PE10;POMPE ELECTRIQUE EMULSEUR 10M3/H 12 BARS;0;0;0
PE50;POMPE ELECTRIQUE 50M3/H 60MCL;0;0;0
PF264;ELECTROPOMPE MONOPHASE;1; 2 103,75;2 104
PFT2;PREFILTRE;0;0;0
PHC4482;RACCORD BAI MALE 3/8F;10;167,67;1 677
PHC4523;RACCORD F 1/4 TUY 6X12;4;134,72;539
PHC4527;RACCORD D'AIR 522;171;55,2537;9 448
PHC4543;RACCORD F 3/8 TUY 8X15;-10;0;0
PHC4547;RACCORD;3;57,0467;171
PHC4808-1;RACCORD M 3/8 BSP;25;293,99;7 350
PHCR27;QUEUE DE RACC.RAP.F1/4;5;56,16;281
PH+N16A;PROTECTION PR PRISE MONOPHASE PH+N 16A;1;50;50
PIG-50-SC/50M;PIGTAILS SC MULTIMODE 50/125 um 1.5M;48;30,5;1 464
PISTAUT;PISTOLET AUTOMATIQUE GA;0;0;0
PKZM01-2.5;BLOC CONTACT POUR DISJONCTEUR PKZM01 2.5;2;44;88
PLAN5154;SOCLE D91 ET D291 109;0;0;0
PLAQUE;PLAQUES D'IDENTIFICATION;4;96,755;387
PN20DN150;"BRIDE 6"" P20BARS ";2;320;640
POT;POT A EGOUTTURES;4;459,575;1 838
POULIE;POULIE 150MM;0;0;0
PR1005F000;ENS.REDUCTION;4; 1 767,02;7 068
PR2000;JEUX DE JOINT PPE R13000;4;164,21;657
PR2000D000;ENS.REGLAGE;4; 1 099,48;4 398
PR5005B000;ENS MEMBRANE D68;1; 1 540,1;1 540
PR6004K000;BOITE A CLAPET REFOULEMT;1;532,48;532
PRISE;PRISE RAPIDE MALE 1/4;0;0;0
PRISE-7BRS;PRISE 7 BARS PR LIAISON VERS CAMION GPL;0;0;0
PRO-100-T1-K;CHAPEAU D'AIR GTI PRO;2;553,64;1 107
PRO-100-T2-K;CHAPEAU D'AIR GTI PRO;2;553,64;1 107
PRO-200-13K;BUSE INOX GTI PRO 13;0;0;0
PRO-200-14K;BUSE INOX GTI PRO 14;2;257,84;516
PRO-300-K;AIGUILLE INOX GTI PRO;2;128,92;258
PRO-3-K;KIT REGLAGE PRODUIT;5;147,494;737
PRO-404-K;ENSEMBLE VALVE D'AIR;10;130,902;1 309
PROGICIEL;PROGICIEL TELJ;0;0;0
PR+SOUD+CL316L;FOURNITURE,PREPARATION,SOUDURE ET POSE CLAPET;2; 2 625;5 250
PR+SOUD+FIL316L;FOURNITURE,PREPARATION, SOUDURE ET POSE FILTRE;2; 3 510;7 020
PT100;SONDE DE TEMPERATURE -10° A +60°;0;0;0
PT100X2;SONDE PT100X2  -200 A +500°C;2; 3 833,955;7 668
PT-78-K60;KIT DE SEAU INTERNE JETABLE;1; 1 317,42;1 317
PTL-412-K8;KIT DE SEAU INTERNE;-1; 6 221,86;-6 222
PTL-78-K10;KIT DE SEAU INTERNE;-2;0;0
PULVER-304L;PULVERISATEUR INOX 304L TYPE K20H DEBIT 35M3/H A 4 BARS;0; 2 287,39;2 287
PXBB3911;Contact pneumatique DIV-FR;2;389,21;778
QMF_1007;SORTIE PRODUIT;4;327,87;1 311
QMS-436;DOUBLE DETENTE;0;39,98;40
QS-44K4;KIT PALETTE;5;180;900
QS-5012-CE;AGITATEUR PNEUMATIQUE AV REDUCTEUR;2; 6 839,215;13 678
QS576H-G;AGITATEUR PNEUMATIQUE;1;0;0
R13-1500;JEU DE JOINT VERIN R13;4;629,28;2 517
R1-360;JEU DE JOINT;1;114,64;115
R1821;MANOMETRE DE GONFLAGE;145;362,3968;52 548
R27121.100B;REGULATEUR;1;89,91;90
R5-029;VALVE COMPLETTE;5;164,85;824
R5-1500;JEU DE JOINT;11;226,03;2 486
RAC.1-1/2SERTI;"RACCORD+SERTISSAGE FLEXIBLE 1""/12 LONG:40M";3;446;1 338
RACALU;RACCORD SYMETRIQUE EN ALU;1;850;850
RACC.DIAM1;"RACCORD TOURNANT 1""";0;0;0
RAC.D6X1/8;RACCORD RILSAN LAITON D6X1/8;-20;0;0
RAC.D8X1/8;RACCORD D6X1/8 ET D8X1/8;-50;0;0
RACFILETE3;" RACCORD MALE 3"" LONG.40M ";1; 1 051;1 051
RAC.M6;RACCORD DE GRAISSE M6 AVEC OLIVE;-50;0;0
RAC.M8;RACCORD DE GRAISSE M8 AVEC OLIVE;-50;0;0
RACM8X1/4;RACCORD RILSAN MALE 8X1/4;8;10;80
RAC.M/F11/2;" RACCORD M/F 1""1/2        ";1;588;588
RAC-PAR-FUS;RACCORDEMENT BRIN FIBRE OPTIQUE PAR FUSION;8;960;7 680
RBSA100200;GROUPE ELECTROPOMPE POUR TRANSFERT DE GASOIL;0;0;0
RBSA100400;GROUPE ELECTROPOMPE POUR TRANSFERT D'ESSENCE;0;0;0
RBSA125400;ELECTROPOMPE CENTRIFUGE POUR HYDROCARBURES;0;0;0
RDAL321/2;" REDUCTION SYM.ALU3""2""1/2 ";2;637,26;1 275
RED1-1/2X3/4;"REDUCTION 1""1/2 X 3/4";8;45;360
RED3X2;"REDUCTION 3""X2""";8;87,5;700
RED4X3;REDUCTION DN 4 X 3;2;36;72
RED6X4;"REDUCTION DE 6"" A 4"" CENCENTRIQUE ACH 40";2;115;230
REDD1F3/8F;"REDUCTION 1"" F 3/8 F";1;68;68
REDD1FX1/4F;"REDUCTION 1"" F 1/4F";1;68;68
REGUL.1/4;REGULATEUR 1/4;-1;0;0
REGUL-AIR1/4;REGULATEUR D'AIR 1/4;3;295;885
RELAIS;RELAIS A SEUIL;2;895,03;1 790
REP55;PRIMER REP 55;3;50;150
REP.FLEX1;"REPARATION FLEXIBLE 1""";0;0;0
RESS_LAME;RESSORT A LAME;4;800;3 200
RESSP18L;Réservoir sous pression 18L;1; 2 375;2 375
RFLEX;GORGE D'ASPIRATION;-1;0;0
RIL.6MM;TECALENT BLEU DIAM.6MM;-100;0;0
RIL.8MM;TECALENT BLANC DIAM.8MM;-80;7;-560
RIL.8MMBLEU;TECALENT BLEU DIAM.8MM;-100;0;0
ROTULE;GENOUILLE Z PR PISTOLET;13;169,81;2 208
ROULBILLE;ROULEMENT A BILLE;-4;0;0
RP-TP-360;POCHETTE DE JOINT 25X30T;13;179,65;2 335
RS1245-06;" KIT BREAK TODO 2""        ";3; 1 045,97;3 138
RS1345-06;" KIT BREAK CPL TODO 3""    ";3; 1 462,18;4 387
S104;VACOMETRE VIDANGE CARTER;3;117,99;354
S-28218-K5;KITS DE JOINTS;7;53,6643;376
S-28219;JOINT TORIQUE;2;7,71;15
S-28219-K10;KIT DE 10 JOINTS;11;72,0809;793
S-28219-K5;KIT DE 5 JOINT COBRA2;1;38,53;39
S-28220;JOINT TORIQUE;5;10,63;53
S-28220-K5;KIT DE 5 JOINTS;18;47,61;857
S-28221;JOINT TORIQUE;7;8,41;59
S-28221-K10;KIT 10 JOINTS;5;67,03;335
S-28223;JOINT;4;7,25;29
S-28223-K10;KIT 10 JOINTS;6;52,69;316
S-28224;JOINT TORIQUE;9;7,71;69
S-28224K10;KIT DE 10 JOINTS;9;76,31;687
S-28224-K5;KIT DE 5 JOINTS;1;38,53;39
S-28225;JOINT TORIQUE;3;27,9;84
S-28225-K5;KIT DE JOINTS;-2;0;0
SEDPW3S21;"TUBE PLONGEUR 3"" LG.2150BIS";0;0;0
SEDPW4S21;"TUBE PLONGEUR 4"" LG.2150BIS";0;0;0
SEF-1515;" EMBOUT TOURNANT 1""1/2    ";3;198,83;596
SEF-2020;" EMBOUT TOURNANT 2""       ";4;211,68;847
SID;SILENT BLOC;452;14,241;6 437
SIEGE;SIEGE SUP A GRAISSE;3;100;300
SMA-1515;" ADAPTEUR MALE 1""1/2      ";1;185,52;186
SMA-2020;"ADAPTEUR MALE 2""";-2;0;0
SMUF3.65MM;PROTECTEUR D EPISSURE SMUF 3.65mm;48;6;288
SN-34-K5;JOINT DE SOUPAPE;15;95,9753;1 440
SN-402-K;VALVE;8;400,485;3 204
SN-404-K;PRESSE-ETOUPE;2;61,39;123
SN-40-K;RACCORD D'ENTREE AIR;6;67,7683;407
SN-42-K;GACHETTE;10;85,032;850
SN-6-K;BAGUE DE CORPS ET JOINT;46;163,103;7 503
SN-9-K;Raccord d'air;10;91,54;915
SONDE;SONDE DE TEMPERATURE+RACCORD;2; 1 052,23;2 104
SONDE-DENSIT;SONDE DE MESURE DENSITE;0;0;0
SP-100-430-K;CHAPEAU;18;494,9144;8 908
SP-100-443-K;CHAPEAU D'AIR;33;559,7561;18 472
SP-100-470;CHAPEAU D'AIR;4;642,95;2 572
SP-100-497K;CHAPEAU D'AIR;4;627,09;2 508
SP-100-510;CHAPEAU 510;5;625,79;3 129
SP-100-513-K;CHAPEAU D'AIR;20;459,38;9 188
SP-100-522-K;CHAPEAU/BAGUE COMPACT;24;535,7208;12 857
SP-200S-10K;BUSE 1MM;35;440,6574;15 423
SP-200S-12K;BUSE 1.2;4;301,83;1 207
SP-200S-13;BUSE 1.3;2;131,835;264
SP-200S-14;BUSE 1.4;12;263,67;3 164
SP-200S-16K;BUSE COMPACT 1.6;18;376,5039;6 777
SP-200S-18K;BUSE COMPACT 1.8MM;28;327,46;9 169
SP-247C-28;BUSES CARBURE 2.8;3; 1 106,49;3 319
SP-247N-28;BUSE NITRURE 2.8;6;327,46;1 965
SP-300C-28;AIGUILLES CARBURE 2.8;3;788,67;2 366
SP-300N-28;AIGUILLE NITRURE 2.8;1;102,14;102
SP-300S-10K;AIGUILLE 1MM;31;134,3287;4 164
SP-300S-12K;AIGUILLE 1.2MM;5;88,41;442
SP-300S-14;AIGUILLE 1.4;16;93,6;1 498
SP-300S-16K;AIGUILLE COMPACT 1.6;28;118,4436;3 316
SP-300S-18K;AIGUILLE COMPACT 1.8MM;29;102,14;2 962
SP-300S-22-K;AIGUILLE;1;111,16;111
SP-360;POCHETTE DE JOINT 20T;8;123,09;985
SP-401-K;VALVE;10;117,73;1 177
SP-402-K;VALVE;2;303,345;607
SP-612-K;LOGEMENT SOUPAPE D'AIR;1;93,96;94
SP-614-K;KIT DE VIS DE REGLAGE;29;72,3345;2 098
SP-622-K5;KIT DE 5 RESSORTS;29;104,799;3 039
SP-623-K5;KIT JOINT SEPARATEUR;10;112,35;1 124
SP-626-K5;KIT DE 5 SEPARATEURS;19;88,6084;1 684
SPA-10;RONDELLE;0;0;0
SPA-100-E70;CHAPEAU D'AIR;0;0;0
SPA-11;ETOUPE SOUFFLETS;0;0;0
SPA-112;JOINT;2;112,19;224
SPA-16-K2;JOINT DE BAGUE;0;0;0
SPA-17-K5;KIT DE JOINTS;0;0;0
SPA-19;BOUTON;4;53,7;215
SPA-20-K2;KITS;13;128,76;1 674
SPA-254-28-K;BUSE CARBURE 2.8;0;0;0
SPA-29X-K4;KIT DE JOINT;11;112,77;1 240
SPA-320-14-K;BUSE PR COBRA2;5;307,24;1 536
SPA-320-16-K;BUSES;10;286,21;2 862
SPA-352-K;AIGUILLES;0;0;0
SPA-60-1-K;KIT PR COBRA2;1;688,04;688
SPC-0150;" RACCORD VITON 1""1/2      ";3;305,88;918
SPC-0200;" RACCORD VITON 2""         ";28;361,84;10 132
SPK-401-10;KIT D'ENTRETIEN;3;865,24;2 596
SPK-401-10AB;KIT S/BUSES ET AIGUILLES;10;415,95;4 160
SPK-401-14;KIT ENTRETIEN COMPACT 1.4;4;828,06;3 312
SPK-402-K;KIT SERVICE;3;313,17;940
SPN-8-K2-K;JEUX DE CLES;3;43,2433;130
SPSUR-PN100;SOUPAPE DE SURETE PN100 MARQUE ARI;2; 4 000;8 000
SRI-19K2;BOUTON DE REGLAGE;2;123,43;247
SRI-39;AIGUILLE;4;272,98;1 092
SRI-416;KIT ENTRETIEN;6;336,25;2 018
SRI478K12;GODET+COUVERCLE KIT DE 12;1;300,09;300
SRIHD-TS1-10;PISTOLET SRI PRO;12; 1 854,915;22 259
SRIPRO100HS1;CHAPEAUX;5;378,65;1 893
SRIPRO200-10;BUSES;5;440,29;2 201
SRIPRO-2K5;KIT DE 5 SEPARATEURS;6;52,2583;314
SRIPRO300-08;AIGUILLES;5;135,02;675
SRIPROHS1-10;PISTOLET GRAVITE;4; 1 824,1925;7 297
SRIPROTS1-10;PISTOLET RETOUCHE;-3;0;0
SSF3156K8;KIT DE 8 VIS;4;86,95;348
SSG8083;JOINT;3;6,68;20
SSG8083K5;KIT 5 JOINTS;3;36,58;110
SSG8174VIK15;KIT DE 15 JOINTS;14;96,56;1 352
SSG8190;JOINT EN TEFLON;2;7,36;15
SSG8190K5;KIT 5 JOINTS;10;57,15;572
SST7711;RONDELLE JOINT;7;31,63;221
SST7713;RONDELLE JOINT;13;44,38;577
SST8453K5;KIT DE 5 CIRCLIPS;2;41,81;84
STB-0150;" MANCHON D'ESSAI 1""1/2    ";4;24,69;99
STB-0200;" MANCHON D'ESSAI 2""       ";31;30,35;941
STC-0200;" BOUCHON TEST 2""          ";7;134,19;939
STF-2020;EMBOUT EN TE;13;370,41;4 815
STW150;"FLEXIBLE ASPIRATION/REFOULEMENT ""ANNEAU JAUNE"" DIAM 6'' LG. 16m";0;0;0
SUPEREGO;POMPE D'ESSAI SUPER EGO;1; 2 916;2 916
SUPP;SUPPORT EN TOLE ACIER;18;75;1 350
SUPPFIX;SUPPORT DE FIXATION;3;50;150
SURPG130/30;SURPRESSEUR A GRAISSE;1; 2 990,99;2 991
SZ81000;EPURATEUR D'AIR 1/2'';15;147,9407;2 219
T1000X2000X20/10;TOLE EP. 2MM;32;7,4;237
T1000X2000X4;TOLE EP 4MM 2X1MM;128;7,3;934
T1000X2000X6;TOLE EP. 6MM;96;7,4;710
T1250X2500X4;TOLE EN FER 1250X2500X4; 1 200;7,3333;8 800
T1250X2500X5/7;TOLE STRIE 1250X2500X5/7;143;8,5;1 216
T2000X1000;TOLE EN FER 2000X1000;6;467,2;2 803
T2000X1000X2;TOLE 2000X1000X2;32;7,2;230
T2000X1000X3;TOLE STRIE 2000X1000X3;312;7,9;2 465
T2MX1MEP6MM;TOLE NOIRE 2MX1M EPAISSEUR 6MM;96;7,4;710
TAMP-ACCPL;TAMPON PR ACCOUPLEMENT;-1;0;0
TE206;TE EGALE 206;14;139,82;1 957
TE33;TUBE 100GR EPPLE 3;2;338,75;678
TE-DIAM8;REE RACCORD RAPIDE DIAM.8;8;19;152
TEST.HYD.MAN;TESTEUR HYDRAU.MANUEL;0;0;0
TEST-LIAISON06FO;DIAGNOSTIQUE DE LIAISON OPTIQUE 12FO PAR REFLECTOMETERIE ET RAPR.TEST;4;800;3 200
TFFLEX-FUEL;FLEXIBLE PVC TRESSE DN25;1;73,78;74
TH60-90;THERMOSTAT 60ø ET 90ø;1;54;54
THERM-66;THERMOMETRE DE -40°C A 66°C;0;0;0
THERMOATEX;THERMOMETRE DE PRECISION ATEX -200 A +850°C;1; 10 184,08;10 184
TIR-24PEXSSCV;TIROIRE EQUIPE DE 24 COUPLEURS SC MM;1;726;726
TKHC100020AA;ELECTROPOMPE CENTRIFUGE 50M3/H;0; 6 885,39;6 885
TKHC125030AA;POMPE CENTRIFUGE MULTICELLULAIRE;0;0;0
TO5600-1107;" ADAPTEUR TODO 4"" AL/VITON";1; 6 444,1;6 444
TOILAC160MC;TOILE EN ACIER 160 MICRON;1;530;530
TOILAC190MC;TOILE EN ACIER 190 MICRON;2;530;1 060
TOILACINOX30;Toile Acier Inox 30;1,75;440;770
TPW4;TEMPERATURE PROBE /WELL;1; 1 335;1 335
TR100-380/220;TRANSFO DE CDE MONO 100VA 380/220V;1;205;205
TRANSMETTEUR;TRANSMETTEUR DE PRESSION;2; 1 112,645;2 225
TSK-210;DEBIMETRE A CIBLE A TRANSMISSION MAGNETIQUE;0;0;0
TUBE08X13;TUBE HYDRAULIQUE 08X13;12;52,64;632
TUBE15X20;TUBE HYDRAULIQUE 15X20;144;59,8;8 611
TUBE20CM;" TUBE GALVANISE 1""1/2 20CM";4;80;320
TUBE60X690EP3-4;TUBE RECTANGULAIRE 60X60 EP.3 OU 4 DE 6ML;13;293,7;3 818
TUBEGALD1-1/2;"TUBE GALVANISE DIAM.1""1/2";12;63,12;757
TUBEPE160;TUBE PE100 DE 160 SDR17;240;144,9247;34 782
TUYAU.ALIM;TUYAUTERIE ALIMENTATION GALVANISE 1/2;-2;0;0
TX1.5;GROUPE ELECTROPOMPE 3M3/H VOLUMETRIQUE BLACKMER PR FUEL;0;0;0
TX4;GROUPE MOTOPOMPE TX4;0;0;0
TXD2A;POMPE BLACKMER;2; 13 658,6;27 317
TXD3E;POMPE VOLUMETRIQUE BLACKMER;0;0;0
TXSD2;GROUPE DE POMPAGE TYPE TXSD2 12M3/H;0;0;0
TXSD2.5;GROUPE MOTOPOMPE VOLUMETRIQUE 30M3/H A PALETTES BLACKMER;0;0;0
U60X30X6;UAC 60X30X6;64;8,5;544
UNION08-1/4S;UNION SIMPLE 08-1/4S;8;12,6488;101
UNION12SX20S;UNION DOUBLE 12SX20S;8;186,2;1 490
UNION20-1/2S;UNION SIMPLE 20-1/2S;18;67,445;1 214
UNION20S;UNION DOUBLE 20S;12;57,58;691
UPN1006ML;Barre UPN100 LG 6M;130;7,4;962
UPN16012ML;BARRE EN UPN DE 12ML;2; 1 672,4;3 345
UPN1606ML;BARRE UPN 160 EN 6ML;2;836,2;1 672
USD6000L;RESERVOIR VERTICALE 6000L;0;0;0
VA38150;" RACCORD M/COQUILLE D1""1/2";31;264,75;8 207
VA50200;RACCORD MALE;37;270,95;10 025
VA-553;ROBINET 3/8MM GAZ 3/8NPS;5;288,14;1 441
VA_554_L72;ROBINET;14;332,3071;4 652
VA555;ROBINET MM 1/4 GAZ;0;0;0
VAN.HP.Q1/2;VANNE HP Q 1/2;5;236,992;1 185
VANNE1/2;" VANNE 1/2""               ";0;0;0
VANNE1/4MM;VANNE A BILLES EN 1/4 M/M;7;34,5;242
VANNE3/8;ENSEMBLE VANNE AVEC Y EN 3/8;1;110;110
VANNEY1/4;ENSEMBLE VANNE AVEC Y EN 1/4;1;110;110
VE101;HUILE HAUTE TEMPERATURE;30;9,31;279
VH83112040;VIS 12X40 HR;60;1,65;99
VH83116090; VIS 16X90 HR;8;5,4;43
VH83118050;VIS 18X50 HR;30;4,48;134
VH8314030;VIS DIN 933 8.8 14X30;20;4,95;99
VH8316060;VIS 16X60 CLASSE 8 HR;32;5,51;176
VH8316065;VIS DIN 933 8.8 16X65;20;9,23;185
VH83200;VIS 20X60 CLASSE 8 HR;20;12,5;250
VH88E12;ECROU 12 HR;60;0,8;48
VH88E16;ECROU 16X60 CLASSE 8 HR;60;1,7447;105
VH88E18;ECROU 18 HR;30;2,3;69
VH88E20;ECROU 20X60 CLASSE 8 HR;20;2,9;58
VIZI-601;MASQUE A GAGOULE;0;0;0
VLP100-05;POMPE A VIDE A PALETTES LUBRIFIEES;0;0;0
VMH068;HUILE MINERALE VM 068 A 300°C;0;0;0
VMH100;HUILE MINERAL/PPE A VIDE;-812;26,101;-21 194
VMH100-S;HUILE MINERAL PR POMPE AVIDE BUSCH;-25;0;0
VPRE70-28-C;PISTOLET AUTOMATIQUE VIPER;0;261,05;261
VS-422-1-7;TAMIS MAILLE 90 MICRONS;10;66,151;662
VS-510-318;ENS FILTRE A PEINTURE;7;509,06;3 563
VX38;RACCORD MALE 1'' 1/2;5;228,562;1 143
VX40-2;RACCORD MALE 2'';2;332,305;665
VX_50-2;RACCORD MALE EN LAITON;31;294,29;9 123
WGO38A;CLE A CHOC;2; 3 620,91;7 242
WGO44A;CLE A CHOC;1; 1 098,04;1 098
WI16-341;BOUTON REGLAGE PRESSION;1;171,5;172
XK02;JAUGE 5000L ACIER;1; 141 388,41;141 388
Y-119-49-C;VIS;10;32,36;324
Y-15-21;GOUPILLE;0;0;0
Y-183-4;COUPELLES;3;63,76;191
Y-186-4;JOINT;14;58,4514;818
Y-186-6;COUPELLES;1;68,38;68
Y-19108C;VIS;33;7,98;263
Y-1987;VIS;40;4,35;174
Y-240-7;JOINT;10;57,94;579
Y-325-110;JOINTS;91;5,76;524
Y-325-112;JOINTS;58;5,62;326
Y-325-122;JOINT TORIQUE;29;21,46;622
Y-325-14;JOINTS;72;2,94;212
Y-325-15;JOINTS;15;11,32;170
Y-325-206;JOINT;14;47,41;664
Y-325-22;JOINTS;95;13,36;1 269
Y-325-237;JOINT TORIQUE;5;32,87;164
Y-325-350;JOINT;12;26,96;324
Y-327-115;JOINTS;2;23,65;47
Y-6-42;VIS;31;7,98;247
Z610A;ELECTROVANNE 24VAC;3;540;1 620
ZLND65250;POMPE CENTRIFUGE MONOCELLULAIRE HORIZONTALE;1; 14 200;14 200
